site_code,date,gwe
388010N1217279W001,2018-08-31,-16.74
388010N1217279W001,2018-09-30,-6.365
388010N1217279W001,2018-10-31,-2.84
388010N1217279W001,2018-11-30,9.46
388010N1217279W001,2018-12-31,11.66
388010N1217279W001,2019-01-31,17.36
388010N1217279W001,2019-02-28,20.16
388010N1217279W001,2019-03-31,23.66
388010N1217279W001,2020-03-31,10.76
388010N1217279W001,2020-04-30,-7.59
388010N1217279W001,2020-05-31,-30.73
388010N1217279W001,2020-06-30,-47.34
388010N1217279W001,2020-07-31,-41.34
388010N1217279W001,2020-08-31,-11.59
388010N1217279W001,2020-09-30,-14.965
388010N1217279W001,2020-10-31,-6.34
388010N1217279W001,2020-11-30,-2.34
388010N1217279W001,2021-01-31,-8.34
388010N1217279W001,2021-02-28,7.66
388010N1217279W001,2021-04-30,-85.09
388010N1217279W001,2021-05-31,-99.09
388010N1217279W001,2021-06-30,-100.0275
388010N1217279W001,2021-07-31,-110.4025
388010N1217279W001,2021-08-31,-90.92333333333333
388010N1217279W001,2021-09-30,-47.215
388011N1217280W002,2018-08-31,21.01
388011N1217280W002,2018-11-30,18.31
388011N1217280W002,2018-12-31,19.61
388011N1217280W002,2019-01-31,21.31
388011N1217280W002,2020-09-30,18.11
388011N1217280W002,2021-03-31,20.21
388011N1217280W002,2021-06-30,17.51
388011N1217280W002,2021-07-31,16.01
388011N1217280W002,2021-08-31,17.81
388011N1217280W002,2021-09-30,18.01375
388373N1217344W001,2014-05-31,-57.81578947368421
388373N1217344W001,2014-06-30,-59.68366666666667
388373N1217344W001,2014-08-31,10.43
388373N1217344W001,2014-09-30,14.633333333333333
388373N1217344W001,2014-10-31,12.74
388373N1217344W001,2014-11-30,14.66
388373N1217344W001,2014-12-31,18.45
388373N1217344W001,2015-01-31,15.8
388373N1217344W001,2015-03-31,16.2
388373N1217344W001,2015-04-30,14.32
388373N1217344W001,2015-06-30,-66.464
388373N1217344W001,2015-07-31,-70.17225806451613
388373N1217344W001,2015-08-31,-69.47666666666667
388373N1217344W001,2015-09-30,-36.26857142857143
388373N1217344W001,2015-10-31,10.7
388373N1217344W001,2015-11-30,12.21
388373N1217344W001,2015-12-31,13.985
388373N1217344W001,2016-01-31,17.493333333333336
388373N1217344W001,2018-03-31,19.66
388373N1217344W001,2018-04-30,19.56
388373N1217344W001,2018-05-31,27.06
388373N1217344W001,2018-06-30,14.66
388373N1217344W001,2018-07-31,-29.339999999999996
388373N1217344W001,2018-08-31,-55.64
388373N1217344W001,2018-09-30,14.91
388373N1217344W001,2018-10-31,-1.84
388373N1217344W001,2018-11-30,17.06
388373N1217344W001,2018-12-31,19.06
388373N1217344W001,2019-01-31,20.66
388373N1217344W001,2019-02-28,22.56
388373N1217344W001,2019-03-31,24.06
388373N1217344W001,2020-02-29,16.48
388373N1217344W001,2020-03-31,15.86
388373N1217344W001,2020-04-30,12.16
388373N1217344W001,2020-05-31,10.26
388373N1217344W001,2020-06-30,-42.542500000000004
388373N1217344W001,2020-07-31,-55.88000000000001
388373N1217344W001,2020-08-31,-39.215
388373N1217344W001,2020-09-30,8.91
388373N1217344W001,2020-10-31,10.16
388373N1217344W001,2020-11-30,10.66
388373N1217344W001,2021-01-31,4.26
388373N1217344W001,2021-02-28,12.16
388373N1217344W001,2021-04-30,-40.1525
388373N1217344W001,2021-05-31,-56.965
388373N1217344W001,2021-06-30,-57.29833333333334
388373N1217344W001,2021-07-31,-52.17333333333334
388373N1217344W001,2021-08-31,-11.440000000000001
388373N1217344W001,2021-09-30,6.280833333333334
388375N1217343W001,2009-04-30,16.91
388375N1217343W001,2009-06-30,11.18
388375N1217343W001,2009-07-31,7.32
388375N1217343W001,2009-08-31,7.86
388375N1217343W001,2009-09-30,9.35
388375N1217343W001,2009-10-31,11.24
388375N1217343W001,2009-11-30,12.9
388375N1217343W001,2009-12-31,14.15
388375N1217343W001,2010-01-31,17.96
388375N1217343W001,2010-02-28,18.63
388375N1217343W001,2010-04-30,20.54
388375N1217343W001,2013-12-31,15.22
388375N1217343W001,2014-01-31,14.35
388375N1217343W001,2014-02-28,15.48
388375N1217343W001,2014-03-31,16.93
388375N1217343W001,2014-04-30,4.036666666666668
388375N1217343W001,2014-05-31,-23.2608
388375N1217343W001,2014-06-30,-25.318
388375N1217343W001,2014-07-31,-8.276
388375N1217343W001,2014-08-31,8.314
388375N1217343W001,2014-09-30,13.187999999999999
388375N1217343W001,2014-10-31,13.190000000000001
388375N1217343W001,2014-11-30,14.8525
388375N1217343W001,2014-12-31,18.941499999999998
388375N1217343W001,2015-01-31,16.0895
388375N1217343W001,2015-04-30,-3.7161
388375N1217343W001,2015-05-31,-9.27841935483871
388375N1217343W001,2015-06-30,-31.235799999999998
388375N1217343W001,2015-07-31,-39.48732258064516
388375N1217343W001,2015-08-31,-38.30248387096774
388375N1217343W001,2015-09-30,4.353866666666667
388375N1217343W001,2015-10-31,11.218333333333334
388375N1217343W001,2015-11-30,12.548866666666667
388375N1217343W001,2015-12-31,14.42458064516129
388375N1217343W001,2016-01-31,17.9583
388375N1217343W001,2016-02-29,18.379933333333334
388375N1217343W001,2016-03-31,21.348
388375N1217343W001,2018-03-31,19.47
388375N1217343W001,2018-04-30,19.57
388375N1217343W001,2018-05-31,-20.53
388375N1217343W001,2018-06-30,13.42
388375N1217343W001,2018-07-31,-9.309999999999999
388375N1217343W001,2018-08-31,-18.455
388375N1217343W001,2018-09-30,13.344999999999999
388375N1217343W001,2018-10-31,-1.03
388375N1217343W001,2018-11-30,15.77
388375N1217343W001,2018-12-31,19.67
388375N1217343W001,2019-01-31,20.47
388375N1217343W001,2019-02-28,22.17
388375N1217343W001,2019-03-31,23.67
388375N1217343W001,2020-02-29,16.67
388375N1217343W001,2020-03-31,16.67
388375N1217343W001,2020-04-30,12.67
388375N1217343W001,2020-05-31,8.67
388375N1217343W001,2020-06-30,-27.53
388375N1217343W001,2020-07-31,-31.279999999999994
388375N1217343W001,2020-08-31,-21.08
388375N1217343W001,2020-09-30,11.295
388375N1217343W001,2020-10-31,13.17
388375N1217343W001,2020-11-30,13.92
388375N1217343W001,2021-01-31,15.67
388375N1217343W001,2021-02-28,16.17
388375N1217343W001,2021-04-30,-11.555
388375N1217343W001,2021-05-31,-33.805
388375N1217343W001,2021-06-30,-33.33
388375N1217343W001,2021-07-31,-34.489999999999995
388375N1217343W001,2021-08-31,4.209999999999999
388375N1217343W001,2021-09-30,11.995000000000001
388393N1217330W001,2014-06-30,-12.77
388393N1217330W001,2014-07-31,-53.06741935483871
388393N1217330W001,2014-08-31,-14.100000000000001
388393N1217330W001,2014-09-30,13.686666666666667
388393N1217330W001,2014-10-31,11.58
388393N1217330W001,2014-11-30,12.91
388393N1217330W001,2014-12-31,17.79
388393N1217330W001,2015-01-31,15.5
388393N1217330W001,2015-03-31,15.67
388393N1217330W001,2015-04-30,-38.04333333333333
388393N1217330W001,2015-05-31,-52.8733
388393N1217330W001,2015-06-30,-60.36809677419355
388393N1217330W001,2015-07-31,-64.54806451612903
388393N1217330W001,2015-08-31,-63.52333333333333
388393N1217330W001,2015-09-30,-32.94714285714286
388393N1217330W001,2015-10-31,10.49
388393N1217330W001,2015-11-30,12.41
388393N1217330W001,2015-12-31,13.86
388393N1217330W001,2016-01-31,17.41
388393N1217330W001,2018-03-31,21.31
388393N1217330W001,2018-04-30,19.41
388393N1217330W001,2018-05-31,-1.89
388393N1217330W001,2018-06-30,13.11
388393N1217330W001,2018-07-31,0.6100000000000003
388393N1217330W001,2018-08-31,-3.415
388393N1217330W001,2018-09-30,13.435
388393N1217330W001,2018-10-31,-47.39
388393N1217330W001,2018-11-30,15.91
388393N1217330W001,2018-12-31,17.41
388393N1217330W001,2019-01-31,20.41
388393N1217330W001,2019-02-28,23.31
388393N1217330W001,2019-03-31,23.81
388393N1217330W001,2020-02-29,14.41
388393N1217330W001,2020-03-31,14.41
388393N1217330W001,2020-05-31,8.2
388393N1217330W001,2020-06-30,-30.445
388393N1217330W001,2020-07-31,-52.35666666666666
388393N1217330W001,2020-08-31,-32.915
388393N1217330W001,2020-09-30,13.735
388393N1217330W001,2020-10-31,8.41
388393N1217330W001,2020-11-30,8.91
388393N1217330W001,2021-01-31,5.21
388393N1217330W001,2021-02-28,11.21
388393N1217330W001,2021-04-30,-21.637999999999998
388393N1217330W001,2021-05-31,-49.7775
388393N1217330W001,2021-06-30,-53.51857142857143
388393N1217330W001,2021-07-31,-55.812222222222225
388393N1217330W001,2021-08-31,-10.373333333333333
388393N1217330W001,2021-09-30,6.58
388393N1217330W002,2013-12-31,15.96
388393N1217330W002,2014-01-31,15.42
388393N1217330W002,2014-02-28,17.28
388393N1217330W002,2014-03-31,17.83
388393N1217330W002,2014-04-30,13.32
388393N1217330W002,2014-05-31,2.998
388393N1217330W002,2014-06-30,1.1640000000000001
388393N1217330W002,2014-07-31,0.23600000000000004
388393N1217330W002,2014-08-31,12.062000000000001
388393N1217330W002,2014-09-30,14.754
388393N1217330W002,2014-10-31,14.27
388393N1217330W002,2014-11-30,15.9025
388393N1217330W002,2014-12-31,19.7915
388393N1217330W002,2015-01-31,17.1385
388393N1217330W002,2015-04-30,4.2765
388393N1217330W002,2015-05-31,-0.7101612903225807
388393N1217330W002,2015-06-30,-8.386033333333334
388393N1217330W002,2015-07-31,-11.67132258064516
388393N1217330W002,2015-08-31,-10.76358064516129
388393N1217330W002,2015-09-30,8.482733333333334
388393N1217330W002,2015-10-31,12.818548387096774
388393N1217330W002,2015-11-30,13.630633333333332
388393N1217330W002,2015-12-31,15.395774193548387
388393N1217330W002,2016-01-31,19.268233333333335
388393N1217330W002,2016-02-29,19.569399999999998
388393N1217330W002,2016-03-31,22.78969230769231
388393N1217330W002,2018-06-30,15.93
388393N1217330W002,2018-07-31,8.690000000000001
388393N1217330W002,2018-08-31,6.13
388393N1217330W002,2018-09-30,15.73
388393N1217330W002,2018-10-31,5.03
388393N1217330W002,2018-11-30,17.23
388393N1217330W002,2018-12-31,18.73
388393N1217330W002,2019-01-31,23.73
388393N1217330W002,2019-02-28,23.03
388393N1217330W002,2019-03-31,25.23
388393N1217330W002,2020-02-29,18.23
388393N1217330W002,2020-03-31,18.23
388393N1217330W002,2020-05-31,19.23
388393N1217330W002,2020-06-30,17.03
388393N1217330W002,2020-07-31,19.105
388393N1217330W002,2020-08-31,18.105
388393N1217330W002,2020-09-30,15.48
388393N1217330W002,2020-10-31,16.73
388393N1217330W002,2020-11-30,15.23
388393N1217330W002,2021-01-31,18.13
388393N1217330W002,2021-02-28,17.73
388393N1217330W002,2021-04-30,9.355
388393N1217330W002,2021-05-31,-5.927142857142856
388393N1217330W002,2021-06-30,-5.43
388393N1217330W002,2021-07-31,-6.489999999999999
388393N1217330W002,2021-08-31,9.85
388393N1217330W002,2021-09-30,16.096666666666668
388393N1217330W003,2013-12-31,15.07
388393N1217330W003,2014-01-31,14.13
388393N1217330W003,2014-02-28,15.58
388393N1217330W003,2014-03-31,16.86
