site_code,date,gwe
395831N1218069W001,2015-04-30,110.3
395831N1218069W001,2015-05-31,112.59475
395831N1218069W001,2015-06-30,113.19213333333333
395831N1218069W001,2015-07-31,113.06459375
395831N1218069W001,2015-08-31,112.18354838709678
395831N1218069W001,2015-09-30,109.87286666666667
395831N1218069W001,2015-10-31,111.06183870967742
395831N1218069W001,2015-11-30,113.11110000000001
395831N1218069W001,2015-12-31,112.91787096774195
395831N1218069W001,2016-01-31,114.87526666666666
395831N1218069W001,2016-02-29,113.41853333333333
395831N1218069W001,2016-03-31,114.56312903225806
395831N1218069W001,2016-04-30,112.10583333333334
395831N1218069W001,2016-05-31,114.00780645161291
395831N1218069W001,2016-06-30,114.87226666666668
395831N1218069W001,2016-07-31,115.20377419354838
395831N1218069W001,2016-08-31,114.78234375
395831N1218069W001,2016-09-30,110.84123333333334
395831N1218069W001,2016-10-31,111.28590322580645
395831N1218069W001,2016-11-30,113.23219999999999
395831N1218069W001,2016-12-31,116.3114193548387
395831N1218069W001,2017-01-31,117.05513333333333
395831N1218069W001,2017-02-28,116.75993103448276
395831N1218069W001,2017-03-31,115.0878064516129
395831N1218069W001,2017-04-30,114.55186666666667
395831N1218069W001,2017-05-31,115.00877419354839
395831N1218069W001,2017-06-30,115.63380000000001
395831N1218069W001,2017-07-31,115.71696774193549
395831N1218069W001,2017-08-31,114.82358064516129
395831N1218069W001,2017-09-30,111.61236666666667
395831N1218069W001,2017-10-31,111.73416129032258
395831N1218069W001,2017-11-30,115.21773333333334
395831N1218069W001,2017-12-31,115.926
395831N1218069W001,2018-01-31,115.54413333333333
395831N1218069W001,2018-02-28,112.46568965517241
395831N1218069W001,2018-03-31,113.95096774193549
395831N1218069W001,2018-04-30,112.7453
395831N1218069W001,2018-05-31,112.0948064516129
395831N1218069W001,2018-06-30,111.95733333333332
395831N1218069W001,2018-07-31,111.5109375
395831N1218069W001,2018-08-31,111.51477419354839
395831N1218069W001,2018-09-30,110.76093333333333
395831N1218069W001,2018-10-31,113.55675
395831N1218069W001,2018-11-30,114.73053333333334
395831N1218069W001,2018-12-31,116.10922580645162
395831N1218069W001,2019-01-31,116.42006666666666
395831N1218069W001,2019-02-28,117.82862068965518
395831N1218069W001,2019-03-31,115.5591935483871
395831N1218069W001,2019-04-30,113.87073333333333
395831N1218069W001,2019-05-31,115.2372258064516
395831N1218069W001,2019-06-30,115.5025
395831N1218069W001,2019-07-31,115.76248387096774
395831N1218069W001,2019-08-31,115.58435483870969
395831N1218069W001,2019-09-30,111.8922
395831N1218069W001,2019-10-31,112.50696774193548
395831N1218069W001,2019-11-30,115.3082
395831N1218069W001,2019-12-31,115.8195806451613
395831N1218069W001,2020-01-31,115.39173333333333
395831N1218069W001,2020-02-29,112.61042307692308
