id,nrd,idwn,name,irv,igw,botr,x,y,proj
86,85,3853,BUTTE,3477,5183,53.55,594332.8598,4352613.639,54343.401031292386
86,85,3853,BUTTE,3478,5182,52.88,594152.9427,4351671.721,55302.34820480998
86,85,3853,BUTTE,3479,5267,53.55,594068.2759,4350772.136,56205.9087391668
86,85,3853,BUTTE,3480,5266,51.82,593412.1079,4350105.384,57141.38437953833
86,85,3853,BUTTE,3481,5265,50.33,592988.7737,4349269.299,58078.53429930278
86,85,3853,BUTTE,3482,5350,50.02,592914.6902,4348369.714,58981.164642908174
86,85,3853,BUTTE,3483,5349,49.86,592449.0226,4347734.713,59768.61151964953
86,85,3853,BUTTE,3484,5433,49.94,591750.5212,4347110.295,60705.52242497976
86,85,3853,BUTTE,3485,5432,50.01,591337.7703,4346464.71,61471.77518854786
86,85,3853,BUTTE,3486,5431,49.83,591126.1033,4345628.625,62334.2373883653
86,85,3853,BUTTE,3487,5430,49.68,590861.5193,4344824.291,63180.97103988249
86,85,3853,BUTTE,3488,5521,49.68,590882.6861,4343903.539,64101.966305302914
86,85,3853,BUTTE,3489,5615,49.08,591221.3534,4343152.12,64926.17868912756
86,85,3853,BUTTE,3490,5707,48.24,591496.5207,4342368.952,65756.28058601379
86,85,3853,BUTTE,3491,5706,47.09,591718.7712,4341490.534,66662.37852082742
86,85,3853,BUTTE,3492,5797,46.23,592163.272,4340844.949,67446.19033078286
86,85,3853,BUTTE,3493,5879,45.53,592332.6057,4340082.948,68226.77948389539
86,85,3853,BUTTE,3494,5880,44.74,592576.0229,4339384.446,68966.48008363761
86,85,3853,BUTTE,3495,5881,44.21,593359.1911,4339257.446,69759.87874099176
86,85,3853,BUTTE,3496,5882,43.84,593962.4423,4338633.028,70628.10097580611
86,85,3853,BUTTE,3497,5970,43.74,594269.3596,4337955.693,71371.72785217909
