id,nrd,idwn,name,irv,igw,botr,x,y,proj,geometry,bathymetry_ft
58,15,2860,SACRAMENTO,2749,434,358.06,565560.9704,4478716.864,30682.084957439627,POINT (565560.9704 4478716.864),362.0886535644531
58,15,2860,SACRAMENTO,2750,480,358.05,565974.2691,4478053.664,31463.525969558887,POINT (565974.2691 4478053.664),357.7073059082031
58,15,2860,SACRAMENTO,2751,481,352.45,566541.3536,4477515.414,32245.381386269833,POINT (566541.3536 4477515.414),378.40264892578125
58,15,2860,SACRAMENTO,2752,483,339.75,567139.9111,4477046.822,33005.54554174575,POINT (567139.9111 4477046.822),340.8666076660156
58,15,2860,SACRAMENTO,2753,484,353.69,567560.929,4476290.044,33871.553055226024,POINT (567560.929 4476290.044),354.22174072265625
58,15,2860,SACRAMENTO,2754,532,351.56,568248.8471,4475655.043,34807.74618824337,POINT (568248.8471 4475655.043),353.0310974121094
58,15,2860,SACRAMENTO,2755,590,348.56,568354.6807,4474755.458,35713.535304491685,POINT (568354.6807 4474755.458),350.1856994628906
58,15,2860,SACRAMENTO,2756,654,348.41,568481.6808,4473898.206,36580.14364561411,POINT (568481.6808 4473898.206),353.8647766113281
58,15,2860,SACRAMENTO,2757,726,345.47,568629.8478,4473030.371,37460.53619846422,POINT (568629.8478 4473030.371),346.3050537109375
58,15,2860,SACRAMENTO,2758,725,345.14,568598.0977,4472130.786,38360.681320694486,POINT (568598.0977 4472130.786),346.2288818359375
58,15,2860,SACRAMENTO,2759,797,340.03,568291.1805,4471284.118,39261.261616881755,POINT (568291.1805 4471284.118),341.5188903808594
58,15,2860,SACRAMENTO,2760,862,339.15,568013.8967,4470437.978,40151.67680393881,POINT (568013.8967 4470437.978),344.48193359375
58,15,2860,SACRAMENTO,2761,920,338.99,567979.5008,4470263.353,40329.657051612005,POINT (567979.5008 4470263.353),340.6253356933594
58,15,2860,SACRAMENTO,2762,971,334.49,568011.9281,4469999.143,40595.849564439224,POINT (568011.9281 4469999.143),340.5961608886719
64,5,2891,SACRAMENTO,2860,971,338.49,568011.9281,4469999.143,40595.849564439224,POINT (568011.9281 4469999.143),340.5961608886719
64,5,2891,SACRAMENTO,2861,1029,337.66,568431.0803,4469363.306,41357.41194358766,POINT (568431.0803 4469363.306),333.7400207519531
64,5,2891,SACRAMENTO,2862,1031,338.0,569087.2483,4468728.305,42270.52897564058,POINT (569087.2483 4468728.305),337.1967468261719
64,5,2891,SACRAMENTO,2863,1032,335.77,569574.0826,4467998.054,43148.18161687042,POINT (569574.0826 4467998.054),338.7662353515625
64,5,2891,SACRAMENTO,2864,1033,331.56,569997.4168,4467447.719,43842.50175709007,POINT (569997.4168 4467447.719),326.92535400390625
66,38,2950,SACRAMENTO,2891,1033,331.56,569997.4168,4467447.719,43842.50175709007,POINT (569997.4168 4467447.719),326.92535400390625
66,38,2950,SACRAMENTO,2892,1093,322.8,569510.5825,4466897.385,44577.26372345214,POINT (569510.5825 4466897.385),345.4141540527344
66,38,2950,SACRAMENTO,2893,1156,319.67,569182.4985,4466156.55,45387.49554724146,POINT (569182.4985 4466156.55),332.31634521484375
66,38,2950,SACRAMENTO,2894,1155,323.44,568415.6153,4466087.223,46157.50598572346,POINT (568415.6153 4466087.223),329.2713623046875
66,38,2950,SACRAMENTO,2895,1154,322.55,567616.162,4466061.3,46957.379463724705,POINT (567616.162 4466061.3),325.5050048828125
66,38,2950,SACRAMENTO,2896,1222,319.73,567235.1613,4465415.715,47707.007055016154,POINT (567235.1613 4465415.715),324.23651123046875
66,38,2950,SACRAMENTO,2897,1285,312.83,566991.7441,4464664.297,48496.86839979715,POINT (566991.7441 4464664.297),319.63427734375
66,38,2950,SACRAMENTO,2898,1284,308.5,567203.4112,4463891.712,49297.924292633186,POINT (567203.4112 4463891.712),306.5762023925781
66,38,2950,SACRAMENTO,2899,1348,310.2,567838.4125,4463341.378,50138.21838553072,POINT (567838.4125 4463341.378),308.6988220214844
66,38,2950,SACRAMENTO,2900,1288,308.69,568621.5808,4463277.878,50923.956787369985,POINT (568621.5808 4463277.878),312.51593017578125
66,38,2950,SACRAMENTO,2901,1227,305.98,569468.249,4463246.127,51771.22012712459,POINT (569468.249 4463246.127),313.7238464355469
66,38,2950,SACRAMENTO,2902,1161,297.89,570230.2506,4463320.211,52536.81458730481,POINT (570230.2506 4463320.211),310.6814270019531
66,38,2950,SACRAMENTO,2903,1098,287.72,570621.8347,4464029.296,53346.83905890906,POINT (570621.8347 4464029.296),297.6963806152344
66,38,2950,SACRAMENTO,2904,1099,296.03,571266.4792,4464505.196,54148.11762556396,POINT (571266.4792 4464505.196),292.4442443847656
66,38,2950,SACRAMENTO,2905,1100,297.71,572006.5722,4464735.874,54923.32726710157,POINT (572006.5722 4464735.874),318.1550598144531
66,38,2950,SACRAMENTO,2906,1166,295.47,572164.139,4463943.836,55730.886237026214,POINT (572164.139 4463943.836),301.6198425292969
66,38,2950,SACRAMENTO,2907,1164,295.47,571786.0037,4463351.961,56433.241076641534,POINT (571786.0037 4463351.961),291.88861083984375
66,38,2950,SACRAMENTO,2908,1232,296.73,572315.1714,4462759.293,57227.76849149133,POINT (572315.1714 4462759.293),298.15472412109375
66,38,2950,SACRAMENTO,2909,1296,282.96,572008.2542,4462103.125,57952.167975118515,POINT (572008.2542 4462103.125),304.2677917480469
66,38,2950,SACRAMENTO,2910,1360,283.96,571584.92,4461478.707,58706.56156179133,POINT (571584.92 4461478.707),285.6346130371094
66,38,2950,SACRAMENTO,2911,1294,276.15,570895.408,4461665.887,59421.02860129971,POINT (570895.408 4461665.887),264.7890319824219
66,38,2950,SACRAMENTO,2912,1293,282.61,570145.5838,4461267.04,60270.331409675346,POINT (570145.5838 4461267.04),290.4068603515625
66,38,2950,SACRAMENTO,2913,1292,284.21,569404.7489,4460653.206,61232.42731373782,POINT (569404.7489 4460653.206),290.2041015625
